bug_report_url,bug_report_url_redirected,bug_report_title,created_at,status,closure_reason,n_bugs_covered,programming_language,is_anonymously_reported,has_repro_steps,test_present,fix_entity_type,fix_commit_pr_sha,n_files_changed_in_fix,fix_component,is_fail_stop,comment_count,issue_participants_count,closed_at,issue_description_length_chars,issue_first_comment_at,pr_head_commit_sha,pr_commit_count,pr_has_commit_id,pr_review_submission_count,pr_review_rounds_estimate
https://github.com/gazebosim/gz-sim/issues/2507,https://github.com/gazebosim/gz-sim/issues/2507,Crash after dynamically adding plugin AckermannSteering,2024-08-04T03:42:51Z,closed,Fixed,1,C++,False,True,False,pr,c48fa58f9ef20b85cbd7ed1104a6d59af45afb73,1,core/production code,True,1,2,2024-08-12T17:00:36Z,3071,2024-08-07T23:25:36Z,,,,,
https://github.com/msteveb/jimtcl/issues/276,https://github.com/msteveb/jimtcl/issues/276,Constant comparison,2023-08-23T17:20:16Z,open,Still Open,1,C,False,False,,,,,core/production code,False,1,2,,291,2023-08-23T23:00:50Z,,,,,
https://github.com/matthiaskramm/swftools/issues/122,https://github.com/swftools/swftools/issues/122,A heap-buffer-overflow in swfobject.c:195,2020-08-05T07:32:22Z,open,Still Open,1,C,False,True,,,,,core/production code,True,0,1,,2633,,,,,,
https://github.com/apache/nuttx/pull/12045,https://github.com/apache/nuttx/pull/12045,all: Fix accessing uninitialized local variables,2024-04-03T19:15:47Z,closed,Fixed,4,C,False,False,False,pr,99109b8d79eb35a5fc6d4ffd399895f7355a0cc1,3,core/production code,False,0,,2024-04-04T03:51:54Z,,,0372c1cafe63c630af914cbddef59fd16befd126,1,True,2,1
https://github.com/achimdoebler/UGUI/issues/51,https://github.com/achimdoebler/UGUI/issues/51,ugui.c : stack address is assigned to a non-local variable,2023-07-12T19:44:31Z,open,Still Open,1,C,False,False,,,,,core/production code,False,0,1,,241,,,,,,
https://github.com/contiki-ng/contiki-ng/pull/2422,https://github.com/contiki-ng/contiki-ng/pull/2422,"antelope,debug: Fix duplicate include guard",2023-04-14T01:50:40Z,closed,Fixed,1,C,False,False,False,pr,da72c0ba651fa8bad72cda182c3c37109dc197e1,1,core/production code,False,0,,2023-04-14T13:53:24Z,,,242992f193cecddaf9693291b170f6ec647ed204,1,True,1,1
https://github.com/RIOT-OS/RIOT/pull/19756,https://github.com/RIOT-OS/RIOT/pull/19756,all/gnrc: fix null pointer dereference,2023-06-22T19:04:06Z,closed,Fixed,11,C,False,False,False,pr,51ff6c3675d4e62b23383ae62feffc5bd260d570,9,core/production code,True,3,,2023-06-23T08:04:07Z,,,51ff6c3675d4e62b23383ae62feffc5bd260d570,1,True,1,1
https://github.com/scikit-learn/scikit-learn/issues/28473,https://github.com/scikit-learn/scikit-learn/issues/28473,Suggesting updates on the doc of `sklearn.compose.TransformedTargetRegressor`,2024-02-20T06:12:32Z,closed,Fixed,1,Python,False,False,False,pr,088acc97c68135fdf1217559c9b45124a380b43b,1,documentation,False,1,2,2024-02-20T12:45:57Z,991,2024-02-20T10:42:07Z,,,,,
https://github.com/gazebosim/gz-sim/issues/2458,https://github.com/gazebosim/gz-sim/issues/2458,"Crash caused by service ""/world/default/enable_collision""",2024-07-01T04:15:21Z,closed,Fixed,1,C++,False,True,False,pr,5f03199c95f09ef11fbfc5b64c4049e597f6f8d3,1,core/production code,True,2,3,2024-08-06T00:26:58Z,493,2024-07-22T19:20:01Z,,,,,
https://github.com/wifidog/wifidog-gateway/pull/317,https://github.com/wifidog/wifidog-gateway/pull/317,Adding checks for null return value of malloc,2023-06-07T17:03:12Z,closed,Unknown,3,C,False,False,False,,,3,core/production code,False,0,,2023-11-02T17:35:25Z,,,524d6b9a7bf326afe46beffb2a04e61d850d2f91,2,True,0,0
https://github.com/swftools/swftools/issues/134,https://github.com/swftools/swftools/issues/134,A Segmentation fault in swffilter.c:290,2020-08-06T05:35:51Z,open,Still Open,1,C,False,False,,,,,core/production code,True,0,1,,953,,,,,,
https://github.com/littlekernel/lk/pull/401,https://github.com/littlekernel/lk/pull/401,[lib][heap] Fix array index out-of-range,2024-03-01T22:33:16Z,closed,Fixed,1,C,False,False,False,pr,ed2a3a754d1be2787f1ff4fee9034f36b2fd1702,1,core/production code,False,0,,2024-03-01T23:22:36Z,,,0164dac3d61f8b81818977ab46488bb884eca4f2,1,True,1,1
https://github.com/thorfdbg/libjpeg/issues/39,https://github.com/thorfdbg/libjpeg/issues/39,Assertion fail in blockrow.hpp:93,2020-08-12T02:55:28Z,closed,Invalid,1,C++,False,True,False,,,0,core/production code,True,1,2,2020-08-28T19:47:02Z,355,2020-08-28T19:47:02Z,,,,,
https://github.com/Mbed-TLS/mbedtls/issues/7459,https://github.com/Mbed-TLS/mbedtls/issues/7459,Make calls to snprintf more robust,2023-04-18T17:39:07Z,open,Still Open,1,C,False,False,,,,,core/production code,False,2,2,,3171,2023-04-19T14:19:26Z,,,,,
https://github.com/marcobambini/gravity/issues/315,https://github.com/marcobambini/gravity/issues/315,A Segmentation fault in gravity_ircode.c:428:20,2020-08-07T14:09:43Z,closed,Fixed,1,C,False,True,True,commit,115ee00eea6856576a59bf062be207ea8c9876b8,13,core/production code,True,1,2,2020-08-31T08:20:03Z,2152,2020-08-31T08:20:02Z,,,,,
https://sourceforge.net/p/sox/bugs/331/,https://sourceforge.net/p/sox/bugs/331/,#331 A Floating point exception in wav.c:950:80,2020-08-03T00:00:00Z,closed-invalid,Invalid,1,C,False,,,,,,,,,,,,,,,,,
https://github.com/apache/nuttx/pull/9621,https://github.com/apache/nuttx/pull/9621,"cxd56_dmac, lcd_dev: fix null pointer dereference",2023-06-26T07:21:36Z,closed,Fixed,2,C,False,False,False,pr,1d6e51220df55dabdbf9f1975e9297da8426808a,2,core/production code,True,0,,2023-06-28T07:16:38Z,,,4a2a8b91a5da897a0bba14ef14a911487432faf2,1,True,4,1
https://github.com/ethereumjs/ethereumjs-monorepo/issues/3236,https://github.com/ethereumjs/ethereumjs-monorepo/issues/3236,Gas cost disaccords between ethereumjs/evm and py-evm/geth,2024-01-17T07:55:42Z,closed,Invalid,1,Typescript,False,True,False,discussion,,0,others,False,10,2,2024-01-17T16:58:37Z,6314,2024-01-17T08:46:47Z,,,,,
https://github.com/thorfdbg/libjpeg/issues/35,https://github.com/thorfdbg/libjpeg/issues/35,A heap overflow in linebuffer.cpp:322 causes segment fault,2020-08-04T02:45:44Z,closed,Duplicate,1,C++,False,True,False,,,0,core/production code,True,1,2,2020-08-29T07:30:07Z,4339,2020-08-29T07:30:07Z,,,,,
https://github.com/matthiaskramm/swftools/issues/145,https://github.com/swftools/swftools/issues/145,A Segmentation fault in code.c:754,2020-08-07T14:40:34Z,open,Still Open,1,C,False,True,,,,,core/production code,True,0,1,,1027,,,,,,
